"item_id","event_id","product_id","store_id","hide","num_has","num_wants","priority","added_at","descr","buy_request","sku_product_id","num_total","num_user_set"
"949","165","3251","0","0","0","1","0","2015-01-02 21:22:14",,"a:5:{s:7:""product"";s:4:""3251"";s:8:""form_key"";s:16:""33NY8o99E7FS4ftV"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3251","0","0"
"950","162","675","0","0","0","1","0","2015-01-03 13:12:06",,"a:6:{s:7:""product"";s:3:""675"";s:8:""form_key"";s:16:""FxFlWLgyhbOx0X7t"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:2:""94"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","359","0","0"
"952","147","3271","0","0","1","2","1","2015-01-04 03:12:40",,"a:6:{s:7:""product"";s:4:""3271"";s:8:""form_key"";s:16:""i3rDRAoftvI5MREt"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:136;s:3:""158"";}s:3:""qty"";s:1:""2"";s:9:""gift_next"";s:0:"""";}","3268","1","0"
"953","163","3779","0","0","0","2","0","2015-01-04 19:04:56",,"a:5:{s:7:""product"";s:4:""3779"";s:8:""form_key"";s:16:""u9nVrFSZI03mjJRA"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""2"";s:9:""gift_next"";s:0:"""";}","3779","0","0"
"954","163","3339","0","0","1","1","0","2015-01-04 19:06:45",,"a:6:{s:7:""product"";s:4:""3339"";s:8:""form_key"";s:16:""u9nVrFSZI03mjJRA"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:2:""53"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3341","1","1"
"956","167","2695","0","0","1","1","0","2015-01-05 20:25:26",,"a:6:{s:7:""product"";s:4:""2695"";s:8:""form_key"";s:16:""jzfpNtjakXUQEBLl"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:136;s:3:""415"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","2696","1","1"
"957","167","2763","0","0","2","2","0","2015-01-05 20:26:39",,"a:5:{s:7:""product"";s:4:""2763"";s:8:""form_key"";s:16:""jzfpNtjakXUQEBLl"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","2763","2","0"
"958","167","950","0","0","1","1","0","2015-01-05 20:29:00",,"a:5:{s:7:""product"";s:3:""950"";s:8:""form_key"";s:16:""jzfpNtjakXUQEBLl"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","950","1","0"
"960","167","233","0","0","0","2","0","2015-01-05 20:35:02",,"a:5:{s:7:""product"";s:3:""233"";s:8:""form_key"";s:16:""jzfpNtjakXUQEBLl"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""2"";s:9:""gift_next"";s:0:"""";}","233","0","0"
"961","167","2335","0","0","1","1","0","2015-01-05 20:36:08",,"a:5:{s:7:""product"";s:4:""2335"";s:8:""form_key"";s:16:""jzfpNtjakXUQEBLl"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","2335","1","0"
